kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 49 : 50000 530688 0 0 0 0 0 0 0 
_1.ptx 50 : 50000 561328 0 0 0 0 0 0 0 
_1.ptx 51 : 50000 557920 0 0 0 0 0 0 0 
_1.ptx 28 : 50176 2639040 128 0 0 0 0 0 0 
_1.ptx 52 : 50000 27372384 200064 0 0 1563 1563 0 0 
_1.ptx 29 : 50176 2499872 0 0 0 0 0 0 0 
_1.ptx 53 : 50000 34661824 200064 0 0 1563 1563 0 0 
_1.ptx 30 : 50176 274016 0 0 0 0 0 0 0 
_1.ptx 54 : 50000 551856 0 0 0 0 0 0 0 
_1.ptx 31 : 50176 263520 0 0 0 0 0 0 0 
_1.ptx 55 : 50000 552880 0 0 0 0 0 0 0 
_1.ptx 32 : 50176 367360 0 0 0 0 0 0 0 
_1.ptx 56 : 50000 1275152 200000 0 0 1563 1563 0 0 
_1.ptx 33 : 50176 369664 0 0 0 0 0 0 0 
_1.ptx 34 : 50176 373472 0 0 0 0 0 0 0 
_1.ptx 58 : 50000 302400 0 0 0 0 0 0 0 
_1.ptx 36 : 50176 331168 0 0 0 0 0 0 0 
_1.ptx 37 : 50176 319712 0 0 0 0 0 0 0 
_1.ptx 38 : 50176 326784 0 0 0 0 0 0 0 
_1.ptx 39 : 50176 673600 0 0 0 0 0 0 0 
_1.ptx 41 : 50176 417664 0 0 0 0 0 0 0 
_1.ptx 42 : 50176 317792 0 0 0 0 0 0 1 
_1.ptx 45 : 176 1088 0 0 0 0 0 0 0 
