kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 4600 27600 0 0 0 0 0 0 0 
_1.ptx 200 : 4600 32200 0 0 0 0 0 0 0 
_1.ptx 204 : 230000 692870 0 0 0 0 0 0 0 
_1.ptx 206 : 230000 2530072 0 0 0 0 0 0 0 
_1.ptx 207 : 230000 1137410 0 0 0 9200 9200 0 0 
_1.ptx 209 : 230000 710892 0 0 0 0 0 0 0 
_1.ptx 211 : 230000 2531386 0 0 0 0 0 0 0 
_1.ptx 212 : 230000 1124352 0 0 0 9200 9200 0 0 
_1.ptx 214 : 230000 707312 0 0 0 0 0 0 0 
_1.ptx 216 : 230000 2533274 0 0 0 0 0 0 0 
_1.ptx 217 : 230000 1132724 0 0 0 9200 9200 0 0 
_1.ptx 219 : 230000 2533078 0 0 0 0 0 0 0 
_1.ptx 220 : 230000 2532920 0 0 0 0 0 0 0 
_1.ptx 221 : 230000 2533382 0 0 0 0 0 0 0 
_1.ptx 222 : 230000 2536236 0 0 0 0 0 0 0 
_1.ptx 223 : 230000 2994912 0 0 0 0 0 0 0 
_1.ptx 224 : 230000 1381854 0 0 0 0 0 0 0 
_1.ptx 225 : 230000 2531434 0 0 0 0 0 0 0 
_1.ptx 226 : 230000 3335238 0 0 0 0 0 0 0 
_1.ptx 227 : 230000 3313174 0 0 0 0 0 0 0 
_1.ptx 228 : 230000 2535774 0 0 0 0 0 0 0 
_1.ptx 229 : 230000 2532594 0 0 0 0 0 0 0 
_1.ptx 230 : 230000 2531166 0 0 0 0 0 0 0 
_1.ptx 231 : 230000 3021668 0 0 0 0 0 0 0 
_1.ptx 233 : 230000 3019018 0 0 0 0 0 0 0 
_1.ptx 234 : 230000 1382464 0 0 0 0 0 0 0 
_1.ptx 235 : 230000 1858302 0 0 0 0 0 0 0 
_1.ptx 236 : 230000 1359817 0 0 0 0 0 0 4606 
_1.ptx 237 : 4608 36866 0 0 0 0 0 0 0 
_1.ptx 238 : 4608 27600 0 0 0 0 0 0 2 
_1.ptx 240 : 8 88 0 0 0 0 0 0 0 
_1.ptx 241 : 8 88 0 0 0 0 0 0 0 
_1.ptx 242 : 8 89 0 0 0 0 0 0 0 
_1.ptx 243 : 8 368 0 0 0 0 0 0 0 
_1.ptx 244 : 8 48 0 0 0 0 0 0 0 
_1.ptx 245 : 8 368 0 0 0 0 0 0 0 
_1.ptx 247 : 8 24 0 0 0 0 0 0 0 
_1.ptx 249 : 8 88 0 0 0 0 0 0 0 
_1.ptx 250 : 8 32 0 0 0 8 8 0 0 
_1.ptx 251 : 8 88 0 0 0 0 0 0 0 
_1.ptx 252 : 8 104 0 0 0 0 0 0 0 
_1.ptx 254 : 8 24 0 0 0 0 0 0 0 
_1.ptx 256 : 8 88 0 0 0 0 0 0 0 
_1.ptx 257 : 8 32 0 0 0 8 8 0 0 
_1.ptx 258 : 8 89 0 0 0 0 0 0 0 
_1.ptx 259 : 8 104 0 0 0 0 0 0 0 
_1.ptx 262 : 230000 2315102 0 0 0 0 0 0 0 
_1.ptx 63 : 47104 282624 0 0 0 0 0 0 0 
_1.ptx 263 : 230000 2303960 0 0 0 0 0 0 0 
_1.ptx 64 : 47104 282624 0 0 0 0 0 0 0 
_1.ptx 65 : 47104 871424 0 0 0 0 0 0 0 
_1.ptx 265 : 230000 693380 0 0 0 0 0 0 0 
